Date,Open,High,Low,Close,Adj Close,Volume
2021-07-06,757.000000,767.000000,755.200012,758.349976,755.642822,5529485
2021-07-07,755.900024,764.000000,752.250000,762.900024,760.176636,3573368
2021-07-08,760.000000,767.150024,751.700012,754.400024,751.706970,4188267
2021-07-09,752.000000,752.900024,740.250000,747.349976,744.682129,5782119
2021-07-12,752.500000,757.799988,748.299988,753.599976,750.909729,4475466
2021-07-13,759.000000,773.000000,755.000000,770.750000,767.998535,9810976
2021-07-14,770.950012,773.450012,764.000000,770.049988,767.301086,5621924
2021-07-15,770.500000,778.250000,766.500000,774.150024,771.386536,4239868
2021-07-16,776.000000,776.000000,766.549988,771.150024,768.397217,2913553
2021-07-19,752.299988,766.650024,749.599976,755.200012,752.504089,5554486
2021-07-20,755.000000,755.200012,744.200012,745.750000,743.087830,5815740
2021-07-22,750.099976,758.500000,741.000000,746.750000,744.084290,7876163
2021-07-23,749.000000,764.000000,740.099976,755.400024,752.703430,6604465
2021-07-26,754.000000,760.000000,745.000000,756.299988,753.600159,7890992
2021-07-27,750.500000,756.000000,729.099976,731.700012,729.088074,15441543
2021-07-28,734.799988,734.799988,712.099976,722.900024,720.319397,11102486
2021-07-29,720.000000,728.500000,716.000000,717.250000,714.689575,6855673
2021-07-30,718.049988,718.650024,707.150024,708.900024,706.369385,10358450
2021-08-02,715.000000,725.549988,712.000000,721.150024,718.575684,6823345
2021-08-03,724.000000,740.849976,719.299988,738.599976,735.963379,9265839
2021-08-04,740.500000,757.000000,738.650024,753.799988,751.109070,9744349
2021-08-05,753.000000,755.000000,743.500000,749.299988,746.625122,7246991
2021-08-06,747.000000,757.650024,738.799988,740.849976,738.205322,6522599
2021-08-09,741.000000,757.400024,739.750000,755.500000,752.803040,6064688
2021-08-10,755.500000,764.000000,755.000000,761.549988,758.831421,8309248
2021-08-11,765.000000,769.000000,752.500000,760.799988,758.084106,6429468
2021-08-12,759.000000,763.400024,753.349976,757.349976,754.646423,3572081
2021-08-13,757.500000,764.500000,754.200012,759.900024,757.187317,4239376
2021-08-16,756.000000,765.799988,756.000000,762.000000,759.279785,3967629
2021-08-17,759.000000,760.000000,749.299988,756.750000,754.048584,5576110
2021-08-18,763.799988,763.799988,750.500000,754.400024,751.706970,5370460
